code,code_description
007.01,Малоповерхова забудова
011.00,Землі під промисловою забудовою
03.08,Для будівництва та обслуговування об'єктів туристичної інфраструктури та закладів громадського харчування
11.02,"Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості"
12.04,Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства
01.03,Для ведення особистого селянського господарства
03.13,Для будівництва та обслуговування будівель закладів побутового обслуговування
01.01,Для ведення товарного сільськогосподарського виробництва
02.09,Для будівництва і обслуговування паркінгів та автостоянок на землях житлової та громадської забудови
03.07,Для будівництва та обслуговування будівель торгівлі
02.01,"Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)"
03,Земельні ділянки громадської забудови
03.10,"Для будівництва та обслуговування адміністративних будинків, офісних будівель компаній, які займаються підприємницькою діяльністю, пов’язаною з отриманням прибутку"
008.03,Землі під соціально-культурними об'єктами
12.11,Для розміщення та експлуатації об'єктів дорожнього сервісу
008.00,Землі під громадською забудовою
003.04,Солончаки
012.00,"Землі, зайняті поточним будівництвом та відведені під будівництво (будівництво на яких не розпочато)"
011.01,Землі під будівлями та спорудами промислових підприємств
009.00,"Землі, які використовуються для транспорту"
03.15,Для будівництва та обслуговування інших будівель громадської забудови
01.05,Для індивідуального садівництва
014.00,"Землі, які використовуються для відпочинку та оздоровлення"
12.08,Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій
001.02,Перелоги
01,Земельні ділянки сільськогосподарського призначення
01.02,Для ведення фермерського господарства
007.02,Багатоповерхова забудова
01.04,Для ведення підсобного сільського господарства
001.01,Рілля
02.05,Для будівництва індивідуальних гаражів
07.01,Для будівництва та обслуговування об'єктів рекреаційного призначення
001.00,Рілля
007.00,Землі під житловою забудовою
12.09,Для розміщення та експлуатації будівель і споруд іншого наземного транспорту
11.03,"Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд будівельних організацій та підприємств"
06.01,Для будівництва і обслуговування санаторно-оздоровчих закладів
002.00,Рослинний покрив земель і ґрунти
03.05,Для будівництва та обслуговування будівель закладів культурно-просвітницького обслуговування
07.02,Для будівництва та обслуговування об'єктів фізичної культури і спорту
12.02,Для розміщення та експлуатації будівель і споруд морського транспорту
002.02,Пасовища
002.01,Сіножаті
003.00,Землі без рослинного покриву або з незначним рослинним покривом
11.04,"Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд технічної інфраструктури (виробництва та розподілення газу, постачання пари та гарячої води, збирання, очищення та розподілення води)"
02.03,Для будівництва і обслуговування багатоквартирного житлового будинку
07.03,Для індивідуального дачного будівництва
01.06,Для колективного садівництва
004.00,Чагарникова рослинність природного походження
02.10,Для будівництва і обслуговування багатоквартирного житлового будинку з об’єктами торгово-розважальної та ринкової інфраструктури
03.03,Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги
11.01,"Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємствами, що повязані з користуванням надрами"
02,Земельні ділянки житлової забудови
013.00,Землі під сільськогосподарськими та іншими господарськими будівлями і дворами
12,Земельні ділянки транспорту
03.02,Для будівництва та обслуговування будівель закладів освіти
11,Земельні ділянки промисловості
