first_day_exposition,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,balcony,locality_name,price_per_sqm
2021-01-18,1968750,48.2,2,2.5,5,27.4,2,False,7.7,3,Boryspil,40845.4356846473
2021-01-26,19619188,95.8,2,2.65,6,58.3,5,False,20.0,1,Kyiv,204793.19415448853
2021-02-14,5962500,80.0,3,2.85,17,44.0,9,False,15.0,0,Kyiv,74531.25
2021-03-26,7481250,79.6,2,3.0,8,42.7,7,False,18.0,0,Kyiv,93985.5527638191
2021-03-27,2475000,42.98,1,2.65,5,18.72,1,False,11.31,0,Irpin,57584.92322010238
2021-03-27,7481250,133.0,4,3.0,5,58.0,2,False,45.0,0,Kyiv,56250.0
2021-04-11,5343750,100.0,4,3.0,5,76.0,5,False,10.0,0,Kyiv,53437.5
2021-04-19,5218875,139.8,4,2.8,5,79.4318181818182,4,False,9.1,0,Boryspil,37331.008583690986
2021-04-23,3369375,82.0,3,3.0,4,60.0,2,False,8.0,0,Irpin,41089.939024390245
2021-04-24,6412500,76.0,2,2.65,9,36.0,3,False,14.0,0,Kyiv,84375.0
2021-05-01,3740625,68.3,4,2.63,5,45.1,4,False,9.0,0,Kyiv,54767.56954612006
2021-05-20,5675625,71.9,2,2.65,10,34.1,9,False,16.8,2,Kyiv,78937.76077885952
2021-05-26,2475000,38.63,1,2.85,25,15.0,6,False,12.3,2,Vyshneve,64069.37613253947
2021-06-06,14465981,230.1,3,2.65,3,130.0,1,False,26.1,1,Hostomel,62868.235549760975
2021-06-13,5596875,61.2,2,3.17,7,39.7,2,False,8.0,0,Kyiv,91452.20588235294
2021-06-17,3600000,70.0,4,3.1,5,56.7,3,False,8.0,0,Kyiv,51428.57142857143
2021-06-30,8496000,118.0,3,3.1,16,64.32,5,False,14.27,0,Kyiv,72000.0
2021-07-04,1912500,54.6,2,2.5,5,29.7,1,False,8.5,2,Boryspil,35027.47252747253
2021-07-11,6747188,83.82,2,2.73,11,42.31,1,False,17.85,0,Kyiv,80496.15843474111
2021-07-21,646875,57.1,2,2.65,5,31.2,5,False,9.1,1,Borshchahivka,11328.809106830122
2021-07-22,15750000,188.0,5,3.4,6,139.0,5,False,9.1,0,Kyiv,83776.59574468085
2021-07-26,8381250,120.0,2,2.65,5,53.0,4,False,14.0,0,Kyiv,69843.75
2021-08-11,14062500,123.2,2,2.65,6,85.0,2,False,12.3,1,Kyiv,114143.66883116883
2021-08-11,1546875,36.9,1,3.0,2,19.0,2,False,8.5,0,Vyshneve,41920.73170731708
2021-08-13,4905945,58.3,1,2.65,9,33.125,7,False,9.1,0,Kyiv,84150.0
2021-08-18,2053125,43.0,2,2.65,5,30.0,4,False,6.0,1,Kyiv,47747.09302325582
2021-08-23,5906250,117.2,3,3.4,6,65.0,4,False,14.3,0,Kyiv,50394.62457337884
2021-08-24,1856250,32.5,1,2.55,9,18.0,1,False,6.2,0,Kyiv,57115.38461538462
2021-08-25,3768188,77.5,2,2.75,4,34.9,4,False,15.6,1,Borshchahivka,48621.78064516129
2021-08-26,4937625,47.5,1,3.0,7,26.988636363636367,4,False,11.7,2,Kyiv,103950.0
2021-08-31,2994750,60.5,2,2.75,24,32.0,21,False,11.9,0,Kyiv,49500.0
2021-09-05,6733125,120.6,6,3.46,6,82.3,3,False,9.0,0,Kyiv,55830.22388059702
2021-09-06,4640625,60.0,3,3.0,4,39.0,1,False,14.0,0,Kyiv,77343.75
2021-09-09,6670125,76.1,2,3.0,8,36.2,7,False,13.8,0,Kyiv,87649.4743758213
2021-09-09,2531250,38.0,1,2.8,25,15.0,5,False,9.0,0,Kyiv,66611.84210526316
2021-09-10,7193812,79.3,2,3.0,8,43.1,5,False,17.6,0,Kyiv,90716.4186633039
2021-09-11,3881250,44.85,1,2.7,9,25.48295454545455,2,False,9.7,2,Kyiv,86538.46153846153
