InvoiceNo,CustomerID,Description,Quantity,UnitPrice,Category,Discount,PaymentMethod
INV100866,10bf93a6-29de-4f41-afd0-e62610ac2068,LED Monitor,7.0,42.62,Electronics,0.01,credit card
INV100678,0f4490c6-673c-4a29-a1fa-59dfebeb7714,Gaming Keyboard,7.0,33.8,Gaming,0.05,PayPal
INV100877,0a0ad13a-2fac-484f-b54c-9607340f0524,Laptop Stand,6.0,48.46,Office,0.21,credit card
INV100640,002c2626-e984-459b-b96e-f66b9bf1c8d4,Wireless Mouse,8.0,64.26,Electronics,0.07,paypal
INV100832,0a0ad13a-2fac-484f-b54c-9607340f0524,USB-C Cable,6.0,40.5,Accessories,0.04,Bank Transfer
INV100620,0145193c-cf85-436e-92cc-17cb5b0d04eb,Wireless Mouse,4.0,21.2,Electronics,0.04,Credit Card
INV100554,07a005e9-45b1-446b-a374-c8490f7c5dfa,Power Bank,8.0,49.37,Accessories,0.24,Credit Card
INV100843,10bf93a6-29de-4f41-afd0-e62610ac2068,Wireless Mouse,2.0,37.69,Electronics,0.12,Bank Transfer
INV100616,10bf93a6-29de-4f41-afd0-e62610ac2068,Laptop Stand,4.0,73.08,Office,0.1,Bank Transfer
INV100241,0602013d-f63b-4a5a-b212-19a5562ad344,Laptop Stand,10.0,32.8,Office,0.06,PayPal
INV100655,037f2615-2d98-4d9d-ba88-1aa37263dc0e,HDMI Adapter,10.0,71.59,Accessories,0.15,credit card
INV100001,0d88c95d-0f2f-4e4b-98c4-427c91125f7d,LED Monitor,2.0,57.45,Electronics,0.25,credit card
INV100811,08e4165c-0426-4c44-8848-23876ee1b070,Wireless Mouse,9.0,35.16,Electronics,0.17,Credit Card
INV100370,08e4165c-0426-4c44-8848-23876ee1b070,Power Bank,10.0,6.26,Accessories,0.02,Credit Card
INV100546,01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,Wireless Mouse,10.0,9.33,Electronics,0.0,credit card
INV100298,01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,Laptop Stand,3.0,14.68,Office,0.2,credit card
INV100987,037f2615-2d98-4d9d-ba88-1aa37263dc0e,HDMI Adapter,2.0,48.91,Accessories,0.15,Credit Card
INV100895,0391f9c8-ce5d-43f2-88cd-bf4b8a6673a4,Wireless Mouse,4.0,58.91,Electronics,0.06,paypal
INV100997,002c2626-e984-459b-b96e-f66b9bf1c8d4,Power Bank,1.0,58.8,Accessories,0.12,paypal
INV100911,07065bc8-5d9c-4177-82f9-f5e9b64444f1,Laptop Stand,4.0,42.88,Office,0.11,Bank Transfer
INV100572,0391f9c8-ce5d-43f2-88cd-bf4b8a6673a4,Wireless Mouse,1.0,41.01,Electronics,0.11,Bank Transfer
INV100829,037f2615-2d98-4d9d-ba88-1aa37263dc0e,Power Bank,7.0,82.14,Accessories,0.1,Bank Transfer
INV100268,0f929cf8-ca95-466b-8367-556d34014143,Power Bank,5.0,22.61,Accessories,0.19,credit card
INV100406,0f4490c6-673c-4a29-a1fa-59dfebeb7714,LED Monitor,6.0,56.83,Electronics,0.12,paypal
INV100317,10ebe8a4-35a8-49bb-910f-0f3a06a0b9b2,Power Bank,9.0,66.49,Accessories,0.01,PayPal
INV100362,0f6160e6-f9ce-457b-a231-46a0f7cd3a22,Wireless Mouse,7.0,23.07,Electronics,0.03,credit card
INV100934,0f4490c6-673c-4a29-a1fa-59dfebeb7714,USB-C Cable,9.0,18.23,Accessories,0.05,PayPal
INV100402,04e44f80-9f4e-4fc9-a45c-a81097d07a02,Wireless Mouse,2.0,74.64,Electronics,0.07,paypal
INV100194,08e4165c-0426-4c44-8848-23876ee1b070,Wireless Mouse,4.0,38.37,Electronics,0.05,Bank Transfer
INV100881,10bf93a6-29de-4f41-afd0-e62610ac2068,Laptop Stand,5.0,27.83,Office,0.1,credit card
INV100116,08e4165c-0426-4c44-8848-23876ee1b070,LED Monitor,3.0,73.74,Electronics,0.27,paypal
INV100820,0818064c-782b-4b0e-9ceb-1517653713f9,Power Bank,4.0,23.84,Accessories,0.27,credit card
INV100005,045e6cd9-0bd9-4b88-808b-10c5a4a13d0d,Laptop Stand,3.0,85.16,Office,0.09,Bank Transfer
INV100660,01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,LED Monitor,4.0,73.15,Electronics,0.24,paypal
INV100798,0ce0c94e-d220-46cd-833a-2f864ad1f56f,Gaming Keyboard,1,30.48,Gaming,0.12,credit card
INV100810,0e6164db-1030-47a5-bcc2-dfea819668af,HDMI Adapter,1.0,52.05,Accessories,0.16,Bank Transfer
INV100925,07065bc8-5d9c-4177-82f9-f5e9b64444f1,Power Bank,7.0,68.67,Accessories,0.15,credit card
INV100633,002c2626-e984-459b-b96e-f66b9bf1c8d4,Laptop Stand,9.0,26.11,Office,0.21,PayPal
INV100136,07065bc8-5d9c-4177-82f9-f5e9b64444f1,LED Monitor,9.0,55.67,Electronics,0.1,PayPal
INV100665,01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,HDMI Adapter,1.0,60.45,Accessories,0.02,Credit Card
INV100427,0602013d-f63b-4a5a-b212-19a5562ad344,USB-C Cable,4.0,63.84,Accessories,0.29,credit card
INV100916,10bf93a6-29de-4f41-afd0-e62610ac2068,HDMI Adapter,3.0,74.68,Accessories,0.14,Credit Card
INV100044,002c2626-e984-459b-b96e-f66b9bf1c8d4,Wireless Mouse,5.0,28.85,Electronics,0.19,Bank Transfer
INV100966,0f929cf8-ca95-466b-8367-556d34014143,USB-C Cable,7.0,15.11,Accessories,0.25,paypal
INV100077,037f2615-2d98-4d9d-ba88-1aa37263dc0e,Laptop Stand,3.0,54.84,Office,0.3,credit card
INV100807,09bffaf1-15ef-465d-9204-22e5f16c6f6e,Laptop Stand,5.0,35.13,Office,0.22,PayPal
INV100830,0d88c95d-0f2f-4e4b-98c4-427c91125f7d,Gaming Keyboard,3.0,15.09,Gaming,0.26,Credit Card
INV100204,0f4490c6-673c-4a29-a1fa-59dfebeb7714,Power Bank,8.0,69.47,Accessories,0.1,PayPal
INV100740,01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,Bluetooth Speaker,9.0,15.25,Electronics,0.08,credit card
INV100295,09c9ad28-738f-4e6c-b61b-6eda53404915,Laptop Stand,3.0,74.67,Office,0.17,Credit Card
INV100258,0602013d-f63b-4a5a-b212-19a5562ad344,HDMI Adapter,7.0,75.11,Accessories,0.29,paypal
