id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
63826-17,2017-10-30,33549639,Чинний,2017-10-30,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,0.356,2.136,UA80000000000980793,Солом'янський
63984-17,2017-10-17,30403013,Чинний,2017-10-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.8,1.2,UA80000000000210193,Дарницький
63894-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
56155-17,2017-07-07,34709124,Чинний,2017-07-07,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,1.3,0.5,0.65,UA80000000000126643,Голосіївський
56237-17-П-1,2024-02-19,41018978,Чинний,2024-08-14,2029-08-13,Конструкція на даху будинку (будівлі),1.0,6.082,2.313,14.0677,UA80000000000980793,Солом'янський
63895-17,2018-02-05,36100735,Чинний,2018-02-05,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,1.2,7.2,UA80000000000336424,Деснянський
63785-17,2018-02-05,36100735,Чинний,2018-02-05,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.8,0.9,1.44,UA80000000000336424,Деснянський
64001-17,2018-02-13,40526112,Чинний,2018-02-13,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,12.065,1.3,15.6845,UA80000000000126643,Голосіївський
64004-17,2018-02-01,32154567,Чинний,2018-02-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.75,2.625,3.9375,UA80000000000980793,Солом'янський
63827-17,2017-10-17,33549639,Чинний,2017-10-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.1,1.3,4.03,UA80000000000875983,Святошинський
63900-17,2023-12-12,37245135,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,20.0,1.1,22.0,UA80000000000551439,Оболонський
53597-15,2021-07-29,21677333,Чинний,2021-08-31,2026-08-30,Конструкція на даху будинку (будівлі),1.0,13.0,2.544,33.072,UA80000000000624772,Печерський
63632-17,2017-11-01,9807750,Чинний,2017-11-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.7,1.2,1.68,UA80000000000210193,Дарницький
63635-17,2024-04-17,34431547,Чинний,2024-08-14,2029-08-13,Конструкція на даху будинку (будівлі),1.0,12.0,2.0,24.0,UA80000000000336424,Деснянський
63636-17,2017-12-06,38559987,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.5,0.6,2.7,UA80000000000210193,Дарницький
63805-17,2017-11-01,38123764,Чинний,2017-11-01,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.8,2.42,9.196,UA80000000000210193,Дарницький
64056-17,2018-03-06,30263524,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.95,0.6,1.17,UA80000000000126643,Голосіївський
64061-17,2023-09-28,21677333,Чинний,2024-02-16,2029-02-15,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.65,0.9,4.185,UA80000000000875983,Святошинський
64078-17,2017-12-06,32799279,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,14.5,1.2,17.4,UA80000000000479391,Дніпровський
63972-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63907-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63908-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63909-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63910-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000126643,Голосіївський
63911-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63913-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63915-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63916-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63939-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63917-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63919-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63920-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63921-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63925-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
55550-16,2024-06-28,36819100,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,0.6,4.8,UA80000000000875983,Святошинський
63946-17-П-1,2024-06-06,44356000,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.8,0.536,0.9648,UA80000000000479391,Дніпровський
